,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
92,M142_1015935949_0015_0014_Back.jpg,0,21,2,0.0,0.0,0,21,2,0.0,0.0
93,M142_1015935949_0015_0024_Back.jpg,0,0,511,0.0,,0,0,511,0.0,
94,M142_1015935949_0015_0010_Back.jpg,0,14,1,0.0,0.0,0,14,1,0.0,0.0
95,M142_1015935949_0016_0002_Back.jpg,39,29,15,0.7222222222222222,0.5735294117647058,39,29,15,0.7222222222222222,0.5735294117647058
96,M142_1015935949_0016_0003_Back.jpg,0,16,4,0.0,0.0,0,16,4,0.0,0.0
97,M142_1015935949_0016_0018_Back.jpg,1,12,4,0.2,0.07692307692307693,1,12,4,0.2,0.07692307692307693
98,M142_1015935949_0016_0010_Back.jpg,0,23,1,0.0,0.0,0,23,1,0.0,0.0
99,M142_1015935949_0016_0016_Back.jpg,0,14,1,0.0,0.0,0,14,1,0.0,0.0
100,M142_1015935949_0016_0027_Back.jpg,0,49,7,0.0,0.0,0,49,7,0.0,0.0
101,M142_1015935949_0016_0021_Back.jpg,0,15,2,0.0,0.0,0,15,2,0.0,0.0
102,M142_1015935949_0016_0048_Back.jpg,0,29,6,0.0,0.0,0,29,6,0.0,0.0
103,M142_1015935949_0016_0035_Back.jpg,0,4,1,0.0,0.0,0,4,1,0.0,0.0
104,M142_1015935949_0016_0043_Back.jpg,1,20,5,0.16666666666666666,0.047619047619047616,1,20,5,0.16666666666666666,0.047619047619047616
105,M142_1015935949_0016_0049_Back.jpg,1,33,10,0.09090909090909091,0.029411764705882353,1,33,10,0.09090909090909091,0.029411764705882353
106,M142_1015935949_0017_0002_Back.jpg,0,6,1,0.0,0.0,0,6,1,0.0,0.0
107,M142_1015935949_0018_0011_Back.jpg,0,3,1,0.0,0.0,0,3,1,0.0,0.0
108,M142_1015935949_0018_0014_Back.jpg,5,21,4,0.5555555555555556,0.19230769230769232,5,21,4,0.5555555555555556,0.19230769230769232
109,M142_1015935949_0018_0005_Back.jpg,1,23,3,0.25,0.041666666666666664,1,23,3,0.25,0.041666666666666664
110,M142_1015935949_0018_0007_Back.jpg,1,50,9,0.1,0.0196078431372549,1,50,9,0.1,0.0196078431372549
111,M142_1015935949_0019_0001_Back.jpg,0,17,2,0.0,0.0,0,17,2,0.0,0.0
112,M142_1015935949_0020_0004_Back.jpg,0,7,1,0.0,0.0,0,7,1,0.0,0.0
113,M142_1015935949_0019_0003_Back.jpg,1,14,3,0.25,0.06666666666666667,1,14,3,0.25,0.06666666666666667
114,M142_1015935949_0020_0006_Back.jpg,0,5,2,0.0,0.0,0,5,2,0.0,0.0
115,M142_1015935949_0021_0004_Back.jpg,1,6,2,0.3333333333333333,0.14285714285714285,1,6,2,0.3333333333333333,0.14285714285714285
116,M142_1015935949_0021_0001_Back.jpg,7,32,9,0.4375,0.1794871794871795,7,32,9,0.4375,0.1794871794871795
117,M142_1015935949_0022_0007_Back.jpg,3,21,9,0.25,0.125,3,21,9,0.25,0.125
118,M142_1015935949_0023_0002_Back.jpg,1,44,11,0.08333333333333333,0.022222222222222223,1,44,11,0.08333333333333333,0.022222222222222223
119,M142_1015935949_0023_0032_Back.jpg,16,26,6,0.7272727272727273,0.38095238095238093,16,26,6,0.7272727272727273,0.38095238095238093
120,M142_1015935949_0023_0020_Back.jpg,0,14,2,0.0,0.0,0,14,2,0.0,0.0
121,M142_1015935949_0023_0017_Back.jpg,27,46,17,0.6136363636363636,0.3698630136986301,27,46,17,0.6136363636363636,0.3698630136986301
122,M142_1015935949_0023_0006_Back.jpg,29,51,18,0.6170212765957447,0.3625,29,51,18,0.6170212765957447,0.3625
123,M142_1015935949_0023_0033_Back.jpg,2,17,6,0.25,0.10526315789473684,2,17,6,0.25,0.10526315789473684
124,M142_1015935949_0023_0035_Back.jpg,0,23,7,0.0,0.0,0,23,7,0.0,0.0
125,M142_1015935949_0023_0037_Back.jpg,0,17,7,0.0,0.0,0,17,7,0.0,0.0
126,M142_1015935949_0024_0003_Back.jpg,1,22,11,0.08333333333333333,0.043478260869565216,1,22,11,0.08333333333333333,0.043478260869565216
